fecha,hora,consumo,met_obtencion,datetime
2022-04-13,14,0.647,Real,2022-04-13 14:00:00
2022-04-13,15,0.548,Real,2022-04-13 15:00:00
2022-04-13,16,0.95,Real,2022-04-13 16:00:00
2022-04-13,17,0.362,Real,2022-04-13 17:00:00
2022-04-13,18,0.365,Real,2022-04-13 18:00:00
2022-04-13,19,0.101,Real,2022-04-13 19:00:00
2022-04-13,20,0.052,Real,2022-04-13 20:00:00
2022-04-13,21,0.092,Real,2022-04-13 21:00:00
2022-04-13,22,0.237,Real,2022-04-13 22:00:00
2022-04-13,23,0.181,Real,2022-04-13 23:00:00
2022-04-13,24,0.159,Real,2022-04-14 00:00:00
2022-04-14,1,0.074,Real,2022-04-14 01:00:00
2022-04-14,2,0.053,Real,2022-04-14 02:00:00
2022-04-14,3,0.049,Real,2022-04-14 03:00:00
2022-04-14,4,0.047,Real,2022-04-14 04:00:00
2022-04-14,5,0.071,Real,2022-04-14 05:00:00
2022-04-14,6,0.046,Real,2022-04-14 06:00:00
2022-04-14,7,0.044,Real,2022-04-14 07:00:00
2022-04-14,8,0.044,Real,2022-04-14 08:00:00
2022-04-14,9,0.045,Real,2022-04-14 09:00:00
2022-04-14,10,0.237,Real,2022-04-14 10:00:00
2022-04-14,11,0.388,Real,2022-04-14 11:00:00
2022-04-14,12,0.836,Real,2022-04-14 12:00:00
2022-04-14,13,0.409,Real,2022-04-14 13:00:00
2022-04-14,14,0.733,Real,2022-04-14 14:00:00
2022-04-14,15,0.707,Real,2022-04-14 15:00:00
2022-04-14,16,1.043,Real,2022-04-14 16:00:00
2022-04-14,17,0.495,Real,2022-04-14 17:00:00
2022-04-14,18,0.284,Real,2022-04-14 18:00:00
2022-04-14,19,0.179,Real,2022-04-14 19:00:00
2022-04-14,20,0.443,Real,2022-04-14 20:00:00
2022-04-14,21,0.246,Real,2022-04-14 21:00:00
2022-04-14,22,0.163,Real,2022-04-14 22:00:00
2022-04-14,23,0.129,Real,2022-04-14 23:00:00
2022-04-14,24,0.202,Real,2022-04-15 00:00:00
2022-04-15,1,0.058,Real,2022-04-15 01:00:00
2022-04-15,2,0.047,Real,2022-04-15 02:00:00
2022-04-15,3,0.045,Real,2022-04-15 03:00:00
2022-04-15,4,0.049,Real,2022-04-15 04:00:00
2022-04-15,5,0.047,Real,2022-04-15 05:00:00
2022-04-15,6,0.051,Real,2022-04-15 06:00:00
2022-04-15,7,0.049,Real,2022-04-15 07:00:00
2022-04-15,8,0.132,Real,2022-04-15 08:00:00
2022-04-15,9,0.073,Real,2022-04-15 09:00:00
2022-04-15,10,0.307,Real,2022-04-15 10:00:00
2022-04-15,11,0.212,Real,2022-04-15 11:00:00
2022-04-15,12,0.061,Real,2022-04-15 12:00:00
2022-04-15,13,0.343,Real,2022-04-15 13:00:00
2022-04-15,14,1.031,Real,2022-04-15 14:00:00
2022-04-15,15,0.227,Real,2022-04-15 15:00:00
2022-04-15,16,0.186,Real,2022-04-15 16:00:00
2022-04-15,17,0.189,Real,2022-04-15 17:00:00
2022-04-15,18,0.225,Real,2022-04-15 18:00:00
2022-04-15,19,0.185,Real,2022-04-15 19:00:00
2022-04-15,20,0.136,Real,2022-04-15 20:00:00
2022-04-15,21,0.071,Real,2022-04-15 21:00:00
2022-04-15,22,1.312,Real,2022-04-15 22:00:00
2022-04-15,23,0.966,Real,2022-04-15 23:00:00
2022-04-15,24,0.151,Real,2022-04-16 00:00:00
2022-04-16,1,0.086,Real,2022-04-16 01:00:00
2022-04-16,2,0.056,Real,2022-04-16 02:00:00
2022-04-16,3,0.053,Real,2022-04-16 03:00:00
2022-04-16,4,0.052,Real,2022-04-16 04:00:00
